full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
1862 Apollo (1932 HA),20001862,True,True,1.47,0.56,6.35,0.647,2.29,652.0,0.552,114.0,16.08,1.5,0.25,3.065,,,,1862,-0.000190871,1.44952e-05,-3.74157e-15,13.1678,1,Q,74.918
363599 (2004 FG11),20363599,True,True,1.59,0.724,3.13,0.438,2.73,730.0,0.493,267.0,21.05,0.152,0.306,7.021,,,,363599,-0.00451215,0.000352435,-6.37546e-14,12.8028,1,N,18.048
326354 (2000 SJ344),20326354,True,False,1.14,0.175,5.75,0.941,1.34,445.0,0.809,222.0,22.78,,,,,,,326354,-0.0062738,0.000493904,-1.52929e-13,12.7025,1,N,22.615
401885 (2001 RV17),20401885,True,False,0.915,0.342,7.53,0.602,1.23,320.0,1.13,87.4,20.42,,,,,,,401885,-0.00240239,0.000190889,-4.77597e-14,12.5853,1,S,21.158
477719 (2010 SG15),20477719,True,False,2.08,0.476,0.828,1.09,3.07,1090.0,0.329,12.8,25.26,,,,,,,477719,-0.00683813,0.000561995,-1.79163e-13,12.1676,1,N,11.997
(2014 RQ17),3687148,True,False,1.77,0.443,3.66,0.985,2.55,858.0,0.42,254.0,22.3,,,0.5216,,,,2014 RQ17,-0.00164974,0.000136028,-4.15108e-14,12.1279,1,V,68.192
363027 (1998 ST27),20363027,True,True,0.82,0.53,21.1,0.386,1.25,271.0,1.33,88.4,19.58,0.578,0.059,3.0,,,,363027,0.00098515,8.16424e-05,1.51005e-14,12.0667,1,C,23.058
350462 (1998 KG3),20350462,True,False,1.16,0.117,5.51,1.02,1.29,456.0,0.79,108.0,22.1,,,13.335,,,,350462,-0.00279628,0.000232327,-6.99408e-14,12.036,1,N,24.999
612600 (2003 SM84),20612600,True,False,1.13,0.082,2.8,1.03,1.22,436.0,0.826,279.0,23.02,,,,,,,612600,-0.00711312,0.000597993,-1.76501e-13,11.895,1,N,18.242
1566 Icarus (1949 MA),20001566,True,True,1.08,0.827,22.8,0.186,1.97,409.0,0.881,153.0,16.53,1.0,0.51,2.2726,,,,1566,-0.00050242,4.36321e-05,-3.88525e-15,11.5149,1,S,74.048
468468 (2004 KH17),20468468,True,True,0.712,0.498,22.1,0.357,1.07,220.0,1.64,112.0,22.01,0.197,0.072,,,,,468468,-0.00435601,0.000380958,-6.50229e-14,11.4344,1,S,18.015
