full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
65717 (1993 BX3),20065717,True,True,1.4,0.281,2.81,1.0,1.79,602.0,0.598,344.0,20.87,,,20.33,,,,511684,0.00567254,0.0013009,9.06952e-14,4.36047,1,N,17.114
613014 (2005 QS10),20613014,True,False,2.42,0.479,15.8,1.26,3.58,1370.0,0.262,124.0,18.82,,,2.82,,,,65717,0.00169306,0.000388463,4.33724e-14,4.35835,1,L,28.616
(2007 AM),3365921,True,False,0.799,0.467,11.7,0.426,1.17,261.0,1.38,344.0,21.82,,,,,,,613014,-0.178023,0.0408908,-5.02064e-12,4.35362,Rej.,N,15.504
612227 (2001 QC34),20612227,True,True,1.13,0.188,6.24,0.917,1.34,438.0,0.822,301.0,20.18,,,,,,,2007 AM,-0.00449894,0.00103378,-7.40288e-14,4.35195,1,N,15.061
613714 (2007 DL41),20613714,True,True,1.46,0.476,4.67,0.763,2.15,643.0,0.56,150.0,20.82,,,,,,,612227,-0.00158462,0.000366288,-3.82431e-14,4.32617,1,Q,18.908
(2000 QV7),3046125,True,True,1.41,0.523,9.12,0.672,2.15,611.0,0.59,73.2,21.55,,,,,,,613714,-0.00609389,0.00141383,-1.33935e-13,4.3102,1,S,14.757
(2020 QA7),54053756,True,False,2.72,0.528,8.11,1.28,4.15,1640.0,0.22,52.0,20.13,,,,,,,2000 QV7,0.00961571,0.00223156,1.95241e-13,4.30896,1,N,21.355
2100 Ra-Shalom (1978 RA),20002100,True,False,0.832,0.436,15.8,0.469,1.2,277.0,1.3,249.0,16.24,2.3,0.13,19.797,,,,2020 QA7,-0.986975,0.22926,-2.75556e-11,4.30505,Rej.,N,18.24
162783 (2000 YJ11),20162783,True,True,1.31,0.232,7.26,1.01,1.62,550.0,0.655,229.0,20.91,,,,,,,2100,-0.000195064,4.54892e-05,-3.3913e-15,4.28813,1,K,47.811
474158 (1999 FA),20474158,True,True,1.08,0.133,12.0,0.935,1.22,409.0,0.88,357.0,20.71,,,10.092,,,,162783,-0.00378447,0.000882739,-9.66217e-14,4.28719,1,N,21.268
(2021 QH2),54190788,True,False,1.0,0.285,10.3,0.718,1.29,368.0,0.979,332.0,25.05,,,,,,,474158,-0.00415458,0.000971862,-9.98104e-14,4.27487,Rej.,S,38.092
277810 (2006 FV35),20277810,True,False,1.0,0.377,7.1,0.623,1.38,366.0,0.984,76.7,21.72,,,,,,,2021 QH2,0.0407832,0.00954156,8.84116e-13,4.27427,Rej.,N,2.976
377097 (2002 WQ4),20377097,True,True,1.96,0.556,3.94,0.868,3.04,1000.0,0.36,105.0,19.71,,,36.0,,,,277810,0.00200808,0.000470887,4.05745e-14,4.26446,1,N,28.038
(2010 WT8),3552653,True,False,1.15,0.284,4.54,0.825,1.48,451.0,0.798,252.0,22.02,,,,,,,377097,-0.000955976,0.000224187,-2.18064e-14,4.26419,1,N,63.545
(2005 MF5),3283218,True,False,0.804,0.382,29.5,0.497,1.11,263.0,1.37,299.0,21.73,,,,,,,2010 WT8,-0.0115701,0.00272469,-2.688e-13,4.24639,1,N,10.872
65679 (1989 UQ),20065679,True,True,0.915,0.265,1.3,0.673,1.16,320.0,1.13,287.0,19.62,0.918,0.033,7.746,,,,2005 MF5,0.00425406,0.00100668,7.67126e-14,4.22584,1,N,18.032
177016 (2003 BM47),20177016,True,False,1.16,0.582,13.8,0.485,1.84,456.0,0.789,345.0,19.95,,,,,,,65679,-0.00185076,0.000438013,-3.87698e-14,4.22534,Rej.,C,63.009
592968 (2015 FV118),20592968,True,False,0.858,0.584,6.24,0.357,1.36,290.0,1.24,356.0,21.68,,,,,,,177016,-0.00498116,0.00117994,-8.35221e-14,4.22153,1,N,20.129
37655 Illapa (1994 PM),20037655,True,True,1.48,0.752,18.0,0.366,2.59,656.0,0.549,114.0,17.85,,,2.6556,,,,592968,0.00386304,0.000915828,5.55441e-14,4.21808,1,N,20.093
(2017 GQ5),3773834,True,False,1.25,0.754,37.7,0.307,2.19,510.0,0.706,352.0,20.48,,,,,,,37655,-0.00103103,0.000244706,-1.281e-14,4.21335,1,N,27.836
337084 (1998 SE36),20337084,True,False,1.34,0.0991,11.7,1.21,1.47,567.0,0.634,303.0,19.76,,,11.855,,,,2017 GQ5,-1.06699,0.253595,-1.21021e-11,4.20747,Rej.,N,7.838
(2008 KV2),3412755,True,True,0.85,0.412,5.04,0.5,1.2,286.0,1.26,322.0,21.26,,,0.038,,,,337084,-0.00374735,0.000891954,-1.01197e-13,4.20128,1,N,22.48
4769 Castalia (1989 PB),20004769,True,True,1.06,0.483,8.89,0.549,1.58,400.0,0.899,324.0,17.4,1.4,0.092,4.095,,,,2008 KV2,-0.0024672,0.000587697,-4.44677e-14,4.19808,1,N,13.999
(2016 JE),3752703,True,False,0.822,0.472,16.7,0.434,1.21,272.0,1.32,99.7,21.94,,,,,,,4769,-0.000463758,0.000110526,-8.63246e-15,4.19593,1,S,33.98
483422 (2000 CE59),20483422,True,True,1.14,0.167,12.3,0.948,1.33,443.0,0.812,341.0,20.53,,,3.623,,,,2016 JE,-0.00735291,0.00176345,-1.2197e-13,4.16961,1,N,9.059
(2014 QH33),3682466,True,False,1.08,0.185,2.83,0.884,1.28,412.0,0.873,50.9,24.44,,,,,,,483422,-0.00119179,0.000286172,-2.91028e-14,4.16458,1,L,22.984
(2009 MW),3463371,True,False,0.913,0.299,21.0,0.64,1.19,319.0,1.13,69.4,20.86,,,,,,,2014 QH33,-0.00764359,0.00185108,-1.81104e-13,4.12927,1,N,16.994
203471 (2002 AU4),20203471,True,False,0.855,0.374,17.2,0.536,1.17,289.0,1.25,233.0,19.45,,,13.26,,,,2009 MW,-0.00250649,0.000609644,-5.13412e-14,4.11141,1,S,14.073
(2002 VU114),3143095,True,False,1.18,0.286,2.77,0.843,1.52,468.0,0.768,277.0,22.8,,,,,,,203471,-0.00227772,0.000557957,-4.2689e-14,4.08226,1,M,27.102
325102 (2008 EY5),20325102,True,False,0.626,0.627,5.11,0.234,1.02,181.0,1.99,47.7,20.17,0.361,0.124,,,,,2002 VU114,-0.00472721,0.001161,-1.111e-13,4.07169,1,N,18.01
85774 (1998 UT18),20085774,True,True,1.4,0.329,13.6,0.941,1.86,607.0,0.593,55.9,19.09,0.939,0.042,55.0,,,,325102,-0.00463471,0.00114228,-5.24748e-14,4.05741,1,N,11.901
(2011 EZ40),3559737,True,False,1.72,0.443,24.2,0.959,2.48,825.0,0.436,147.0,20.9,,,,,,,85774,-0.000214483,5.29556e-05,-5.3355e-15,4.05024,1,N,32.271
413260 (2003 TL4),20413260,True,True,0.777,0.381,12.2,0.48,1.07,250.0,1.44,330.0,19.57,,,27.2,,,,2011 EZ40,0.00764079,0.00189171,1.89914e-13,4.03909,1,N,18.13
483560 (2004 BV1),20483560,True,True,1.46,0.368,12.2,0.925,2.0,646.0,0.557,240.0,19.27,,,5.8124,,,,413260,-0.00149163,0.000369813,-2.64401e-14,4.03347,1,N,19.201
612103 (1999 SK10),20612103,True,False,1.76,0.442,6.96,0.985,2.54,856.0,0.421,18.0,19.84,,,,,,,483560,-0.0104861,0.00260128,-2.58319e-13,4.03112,Rej.,N,18.111
497113 (2004 EK1),20497113,True,False,1.25,0.251,11.6,0.936,1.56,510.0,0.706,228.0,22.29,,,,,,,612103,-0.0020335,0.000505776,-5.12082e-14,4.02055,1,S,21.52
(2016 CA138),3743123,True,False,0.998,0.0494,27.7,0.949,1.05,364.0,0.988,133.0,23.31,,,5.3197,,,,497113,-0.00208436,0.000519728,-5.14257e-14,4.01049,1,N,14.166
136564 (1977 VA),20136564,True,False,1.87,0.394,2.98,1.13,2.6,931.0,0.387,311.0,19.28,0.4,,,,,,2016 CA138,-0.0110906,0.00277011,-2.60574e-13,4.00365,1,N,7.034
322756 (2001 CK32),20322756,True,False,0.724,0.383,8.14,0.447,1.0,225.0,1.6,187.0,19.23,,,4.166,,,,136564,-0.00153938,0.000386894,-4.18081e-14,3.97881,1,N,45.695
523590 (2001 QC96),20523590,True,False,1.34,0.38,20.6,0.829,1.84,564.0,0.639,202.0,21.12,,,10.0,,,,322756,-0.00143439,0.000361354,-2.4555e-14,3.9695,1,N,21.144
509102 (2005 VB7),20509102,True,False,1.8,0.348,32.6,1.17,2.43,883.0,0.408,75.4,19.46,,,,,,,523590,-0.00351006,0.000886123,-8.17481e-14,3.96114,1,N,20.66
(2005 XT77),3307228,True,True,0.841,0.266,17.2,0.617,1.07,282.0,1.28,167.0,21.42,,,,,,,509102,-0.0242982,0.00615359,-6.75297e-13,3.94862,Rej.,N,17.09
(2006 AL4),3311963,True,False,2.51,0.594,2.76,1.02,4.0,1450.0,0.248,347.0,24.92,,,,,,,2005 XT77,0.00403821,0.00102485,8.10118e-14,3.94028,1,S,16.986
(2019 ER1),3838915,True,False,1.21,0.13,8.29,1.05,1.37,485.0,0.742,338.0,23.39,,,0.3324,,,,2006 AL4,0.010806,0.00274526,2.62699e-13,3.93623,1,N,15.997
525356 (2005 BG14),20525356,True,True,1.99,0.727,21.7,0.543,3.44,1030.0,0.35,165.0,18.74,,,,,,,2019 ER1,-0.00704345,0.00179575,-1.79172e-13,3.92229,1,N,8.211
376707 (1995 OO),20376707,True,False,2.16,0.779,23.5,0.477,3.83,1160.0,0.311,263.0,17.0,,,,,,,525356,-0.0271064,0.0069204,-4.23607e-13,3.91689,Rej.,N,17.174
(2016 CO246),3743897,True,False,0.995,0.126,6.29,0.869,1.12,362.0,0.993,193.0,25.8,,,,,,,376707,0.0139228,0.00355992,1.90325e-13,3.91097,Rej.,N,27.272
7350 (1993 VA),20007350,True,False,1.36,0.391,7.26,0.826,1.89,577.0,0.624,73.4,17.16,1.921,0.069,3.58264,,,,2016 CO246,-0.0274612,0.00705472,-6.36675e-13,3.89261,1,N,4.011
6456 Golombek (1992 OM),20006456,True,False,2.19,0.409,8.22,1.3,3.09,1190.0,0.303,96.5,16.06,,,2.50129,,,,7350,-0.00100885,0.000259834,-2.34306e-14,3.88266,1,C,59.743
(1997 WQ23),3007574,True,True,1.74,0.495,2.45,0.878,2.6,836.0,0.43,107.0,20.88,,,14.6,,,,6456,-0.00191472,0.000493887,-5.55667e-14,3.87684,Rej.,S,43.455
164222 (2004 RN9),20164222,True,False,1.3,0.247,16.1,0.982,1.63,544.0,0.662,29.7,20.85,,,,,,,1997 WQ23,0.00305533,0.000789954,7.16018e-14,3.86773,1,N,23.053
(2002 AY1),3102728,True,True,0.779,0.437,29.9,0.439,1.12,251.0,1.43,149.0,20.85,,,,,,,164222,-0.00315921,0.000816893,-7.97799e-14,3.86735,1,S,21.634
(2016 AG193),3740496,True,False,1.31,0.197,28.8,1.05,1.57,548.0,0.657,225.0,23.5,,,,,,,2002 AY1,0.0037058,0.000958896,6.22506e-14,3.86465,1,S,19.929
614134 (2008 TC4),20614134,True,True,0.78,0.554,10.6,0.348,1.21,252.0,1.43,173.0,21.65,,,,,,,2016 AG193,-0.0125557,0.00325228,-3.25335e-13,3.86057,1,N,6.045
513126 (1998 QP),20513126,True,True,1.79,0.583,9.35,0.745,2.83,872.0,0.413,131.0,21.71,,,,,,,614134,0.00414658,0.00107564,5.97426e-14,3.85498,1,N,12.939
(2010 KP10),3523944,True,False,1.13,0.166,16.2,0.944,1.32,440.0,0.819,31.0,23.1,0.087,0.101,,,,,513126,-0.0037015,0.000960688,-7.69388e-14,3.85297,1,N,19.515
(2003 MK4),3157028,True,True,1.08,0.181,22.3,0.885,1.28,410.0,0.877,249.0,20.86,,,,,,,2010 KP10,-0.00385613,0.00100269,-9.38934e-14,3.84577,1,N,12.104
612989 (2005 LW39),20612989,True,True,1.99,0.716,28.5,0.565,3.41,1020.0,0.352,122.0,20.01,,,,,,,2003 MK4,-0.0030193,0.000787849,-7.14757e-14,3.83233,1,N,19.589
(2012 BA35),3596264,True,False,1.07,0.116,5.81,0.947,1.19,405.0,0.89,261.0,23.75,,,,,,,612989,0.0303223,0.00792378,4.90787e-13,3.82674,Rej.,N,16.485
455415 (2003 GA),20455415,True,False,1.28,0.191,3.84,1.04,1.53,530.0,0.679,172.0,21.45,,,5.78,,,,2012 BA35,-0.00680138,0.00177883,-1.63509e-13,3.82352,1,N,10.765
247517 (2002 QY6),20247517,True,False,0.817,0.699,12.8,0.246,1.39,270.0,1.33,342.0,19.62,0.269,0.357,,,,,455415,0.00304339,0.000796198,7.81613e-14,3.82241,1,S,19.628
510190 (2011 CX7),20510190,True,False,1.3,0.323,10.5,0.88,1.72,541.0,0.666,204.0,20.46,,,,,,,247517,-0.00229327,0.000601164,-2.49515e-14,3.81472,1,S,20.129
(2014 UV210),3699902,True,False,1.16,0.131,0.599,1.0,1.31,453.0,0.794,282.0,26.9,,,0.5559,,,,510190,-0.00444056,0.00116535,-1.06765e-13,3.8105,Rej.,N,21.328
351545 (2005 TE15),20351545,True,False,1.2,0.344,13.1,0.79,1.62,483.0,0.746,152.0,19.82,,,10.61,,,,2014 UV210,0.13719,0.0360185,3.41563e-12,3.80889,1,C,5.029
85770 (1998 UP1),20085770,True,False,0.998,0.345,33.2,0.653,1.34,364.0,0.989,153.0,20.72,,,,,,,351545,-0.00279456,0.00073573,-6.36923e-14,3.79835,1,N,16.151
312942 (1995 EK1),20312942,True,False,2.26,0.777,9.08,0.504,4.02,1240.0,0.29,340.0,17.36,,,8.444,,,,85770,-0.00223337,0.000588733,-4.63036e-14,3.79351,1,N,31.124
(2010 VW75),3551068,True,False,2.72,0.601,1.1,1.08,4.35,1640.0,0.22,136.0,21.88,,,0.180062,,,,312942,-0.00328273,0.00086645,-4.61859e-14,3.78871,Rej.,N,27.811
(2011 GP59),3562830,True,False,0.869,0.258,8.51,0.645,1.09,296.0,1.22,253.0,24.3,,,0.12251,,,,2010 VW75,-1.07532,0.284589,-2.66806e-11,3.77851,Rej.,N,9.029
,,False,False,,,,,,,,,,,,,,,,2011 GP59,-0.415769,0.110163,-8.52068e-12,3.77412,Rej.,S,3.811
(2003 YS17),3170204,True,True,0.93,0.313,6.53,0.639,1.22,328.0,1.1,40.1,21.6,,,,,,,4888 03,-0.00291761,0.000775093,-5.1593e-14,3.76421,1,S,17.169
613286 (2005 YQ96),20613286,True,True,0.743,0.334,22.2,0.495,0.991,234.0,1.54,210.0,20.63,,,,,,,2003 YS17,-0.00436085,0.00115891,-8.93497e-14,3.76289,1,N,17.051
307070 (2002 AV31),20307070,True,False,1.31,0.249,15.0,0.983,1.64,547.0,0.658,30.0,20.62,0.282,0.117,,,,,613286,-0.00207711,0.00055666,-3.7479e-14,3.73137,1,N,16.019
494690 (2004 JQ1),20494690,True,True,1.19,0.45,32.8,0.656,1.73,476.0,0.756,111.0,20.1,,,,,,,307070,-0.00141775,0.000383525,-3.58331e-14,3.69663,1,L,21.172
(2022 UY),54316897,True,False,0.997,0.114,15.6,0.883,1.11,364.0,0.99,270.0,25.49,,,,,,,494690,-0.0107048,0.00290234,-2.19614e-13,3.68834,Rej.,N,17.057
533638 (2014 KT86),20533638,True,False,1.19,0.168,22.5,0.988,1.39,473.0,0.762,237.0,20.39,,,,,,,2022 UY,-0.012625,0.00342558,-2.93094e-13,3.6855,1,N,6.053
(2009 SV17),3467354,True,False,2.71,0.585,3.44,1.12,4.29,1630.0,0.221,201.0,19.61,,,17.34,,,,533638,-0.00195209,0.000530172,-4.86737e-14,3.68199,1,N,22.042
(2013 UG1),3652985,True,False,0.798,0.483,10.7,0.412,1.18,260.0,1.38,84.1,22.59,,,0.15558,,,,2009 SV17,-1.21627,0.330787,-3.08363e-11,3.67691,Rej.,S,9.467
408982 (2002 SP),20408982,True,False,0.905,0.6,20.9,0.361,1.45,314.0,1.15,226.0,20.78,,,,,,,2013 UG1,0.0439002,0.0119871,7.08261e-13,3.66229,Rej.,N,5.049
469219 Kamo`oalewa (2016 HO3),20469219,True,False,1.0,0.102,7.8,0.899,1.1,366.0,0.984,46.2,24.31,,,0.467,,,,408982,0.00223292,0.000609951,3.19776e-14,3.66083,1,N,18.075
276111 (2002 GM9),20276111,True,False,1.87,0.349,17.3,1.21,2.52,930.0,0.387,18.7,18.6,,,,,,,469219,-0.00630702,0.00172305,-1.46994e-13,3.66038,Rej.,N,17.155
152754 (1999 GS6),20152754,True,True,1.19,0.497,2.02,0.599,1.78,475.0,0.758,227.0,19.22,0.414,0.216,8.021,,,,276111,-0.00982511,0.00269257,-2.77347e-13,3.64897,Rej.,N,24.775
496901 (2001 HB),20496901,True,True,1.31,0.694,9.28,0.402,2.23,550.0,0.654,162.0,20.69,,,,,,,152754,-0.00113546,0.000313717,-2.19633e-14,3.61937,1,S,24.192
(2017 BP32),3767259,True,False,1.31,0.21,23.7,1.04,1.59,549.0,0.655,303.0,23.38,,,,,,,496901,-0.00622597,0.00172061,-8.7138e-14,3.61846,1,N,25.188
337252 (2000 SD8),20337252,True,False,1.13,0.314,6.55,0.775,1.48,438.0,0.822,84.4,20.82,,,,,,,2017 BP32,-0.0047023,0.00129972,-1.21279e-13,3.61793,1,N,6.029
425755 (2011 CP4),20425755,True,True,0.912,0.87,9.47,0.118,1.71,318.0,1.13,239.0,21.12,,,,,,,337252,-0.00339757,0.000939835,-7.66461e-14,3.61507,1,N,18.138
(2016 UZ40),3761739,True,False,2.07,0.733,2.35,0.553,3.59,1090.0,0.33,354.0,23.4,,,,,,,425755,0.0112486,0.00311329,6.13576e-14,3.6131,1,N,16.068
(2021 CP6),54117567,True,False,2.11,0.527,2.72,0.998,3.22,1120.0,0.322,173.0,22.9,,,,,,,2016 UZ40,0.69313,0.192267,1.07979e-11,3.60504,Rej.,N,3.003
(2005 RD34),3290809,True,False,1.33,0.265,19.9,0.975,1.68,558.0,0.645,131.0,20.43,,,,,,,2021 CP6,0.117624,0.0326905,2.91579e-12,3.5981,Rej.,N,6.338
525484 (2005 GL),20525484,True,True,1.06,0.306,15.9,0.733,1.38,396.0,0.908,282.0,21.3,,,,,,,2005 RD34,-0.01981,0.00550918,-4.9961e-13,3.59581,Rej.,N,17.333
136818 Selqet (1997 MW1),20136818,True,False,0.938,0.346,12.8,0.613,1.26,332.0,1.09,269.0,18.98,,,,,,,525484,-0.00463988,0.00129624,-1.01746e-13,3.57948,1,N,15.68
175729 (1998 BB10),20175729,True,True,1.27,0.425,11.5,0.732,1.81,524.0,0.688,196.0,20.44,,,,,,,136818,0.00120416,0.000336718,2.41624e-14,3.57616,1,N,21.854
256004 (2006 UP),20256004,True,False,1.58,0.3,2.29,1.11,2.06,728.0,0.495,206.0,23.02,,,,,,,175729,-0.00118956,0.000333379,-2.58885e-14,3.5682,1,S,25.443
401856 (2000 KW43),20401856,True,True,1.45,0.478,24.3,0.758,2.15,639.0,0.563,244.0,20.27,,,,,,,256004,-0.00587357,0.00164874,-1.58369e-13,3.56246,1,S,19.866
6037 (1988 EG),20006037,True,True,1.27,0.5,3.51,0.636,1.91,524.0,0.687,165.0,18.86,,,2.7602,,,,401856,-0.0013913,0.000390722,-3.04693e-14,3.56084,1,N,21.087
(2007 PB8),3381230,True,False,0.88,0.445,16.6,0.489,1.27,302.0,1.19,253.0,21.36,,,,,,,6037,-0.000886876,0.000249549,-1.76685e-14,3.55391,1,Q,35.384
(2008 BX2),3400310,True,False,0.857,0.341,3.14,0.565,1.15,290.0,1.24,306.0,23.6,,,,,,,2007 PB8,-0.0100046,0.00281607,-1.7727e-13,3.5527,1,N,19.009
(2003 DF16),3150196,True,False,1.78,0.437,26.3,1.0,2.56,870.0,0.414,224.0,20.05,,,,,,,2008 BX2,-0.0112264,0.00316223,-2.16236e-13,3.55015,1,N,8.178
(2008 CE119),3402642,True,False,1.21,0.176,7.73,0.995,1.42,485.0,0.742,91.5,25.55,,,,,,,2003 DF16,0.00859745,0.00243149,2.18687e-13,3.53588,Rej.,N,19.091
(2016 GE1),3748560,True,False,2.06,0.52,10.7,0.991,3.14,1080.0,0.333,79.8,26.7,,,0.009438,,,,2008 CE119,-0.00723424,0.00204801,-1.81561e-13,3.53233,1,N,7.984
1864 Daedalus (1971 FA),20001864,True,False,1.46,0.614,22.2,0.563,2.36,645.0,0.558,258.0,14.84,3.7,0.273,8.572,,,,2016 GE1,-0.039454,0.0112112,-9.71734e-13,3.51916,Rej.,N,3.006
847431 (1994 CJ1),20847431,True,True,1.49,0.325,2.31,1.01,1.98,664.0,0.542,113.0,21.51,,,30.0,,,,1864,-0.00165889,0.000472912,-2.93713e-14,3.50781,Rej.,Q,52.063
390725 (2003 HB),20390725,True,True,0.85,0.38,18.1,0.527,1.17,286.0,1.26,131.0,19.69,0.293,0.271,,,,,1994 CJ1,-0.00545746,0.00155614,-1.40242e-13,3.50705,1,N,22.664
(2009 JR2),3459812,True,False,1.25,0.179,19.7,1.03,1.47,510.0,0.705,238.0,22.95,,,,,,,390725,-0.00247571,0.000706102,-4.59574e-14,3.50617,1,N,18.07
(2012 XE133),3620867,True,False,0.723,0.433,6.73,0.41,1.04,225.0,1.6,205.0,23.3,,,,,,,2009 JR2,-0.00517787,0.0014786,-1.31955e-13,3.50188,1,N,13.933
(2019 QG),3843572,True,True,0.822,0.239,12.6,0.626,1.02,272.0,1.32,323.0,21.38,,,,,,,2012 XE133,-0.0133979,0.00384799,-2.17992e-13,3.4818,1,N,8.066
508772 (1998 WP7),20508772,True,False,1.23,0.433,22.0,0.695,1.76,495.0,0.727,29.1,19.85,,,,,,,2019 QG,-0.00995281,0.00287124,-2.00495e-13,3.46638,1,N,12.09
665390 (2009 HD82),20665390,True,False,1.25,0.477,5.8,0.656,1.85,513.0,0.702,228.0,21.69,,,,,,,508772,-0.00327198,0.000947924,-6.93176e-14,3.45173,1,N,23.014
(2016 GL2),3749032,True,False,1.45,0.265,14.9,1.07,1.84,639.0,0.564,197.0,23.67,,,,,,,2009 HD82,-0.00224858,0.000652194,-4.58219e-14,3.44772,1,N,14.07
468727 (2010 JE87),20468727,True,True,0.904,0.437,16.9,0.509,1.3,314.0,1.15,293.0,20.77,0.308,0.108,,,,,2016 GL2,-0.00249517,0.000724917,-6.57932e-14,3.442,Rej.,N,14.064
344074 (1997 UH9),20344074,True,False,0.83,0.475,25.5,0.436,1.22,276.0,1.3,209.0,19.01,,,,,,,468727,-0.00613243,0.0017866,-1.11122e-13,3.43246,1,N,12.025
163348 (2002 NN4),20163348,True,True,0.876,0.435,5.42,0.495,1.26,299.0,1.2,329.0,20.05,0.735,0.03,14.5,,,,344074,0.00168172,0.000491077,2.79482e-14,3.42456,1,S,25.101
525268 (2004 XL14),20525268,True,True,0.76,0.41,21.5,0.448,1.07,242.0,1.49,78.2,21.43,,,,,,,163348,0.00188803,0.000551352,3.37708e-14,3.42436,1,C,19.154
86666 (2000 FL10),20086666,True,False,1.46,0.427,29.0,0.838,2.09,646.0,0.557,224.0,16.88,1.165,0.228,206.0,,,,525268,-0.00228342,0.000667473,-3.89767e-14,3.42099,1,X,13.988
3671 Dionysus (1984 KD),20003671,True,True,2.2,0.544,13.5,1.0,3.39,1190.0,0.303,252.0,16.49,1.5,0.16,2.7053,,,,86666,-0.00103783,0.000303854,-2.41751e-14,3.41557,1,N,23.959
(2000 AH205),3092248,True,False,1.15,0.407,2.59,0.681,1.61,449.0,0.802,96.7,22.6,,,,,,,3671,-0.000836855,0.000245031,-2.06657e-14,3.4153,1,E,39.17
508908 (2003 YX1),20508908,True,True,0.88,0.267,5.76,0.645,1.11,301.0,1.19,315.0,20.95,,,,,,,2000 AH205,-0.00712183,0.00208633,-1.49852e-13,3.41358,1,S,15.28
136897 (1998 HJ41),20136897,True,False,1.36,0.125,38.9,1.19,1.53,581.0,0.619,22.3,18.56,,,15.3,,,,508908,-0.00153447,0.000449586,-3.14719e-14,3.41308,1,C,19.19
(2003 GH21),3152315,True,False,1.48,0.262,20.1,1.09,1.87,659.0,0.546,219.0,21.59,,,,,,,136897,-0.00134479,0.000395765,-3.64015e-14,3.39795,1,N,24.635
329275 (1999 VP6),20329275,True,False,1.38,0.304,12.8,0.959,1.8,591.0,0.609,63.1,20.1,,,,,,,2003 GH21,-0.00371471,0.00109672,-9.92065e-14,3.38712,1,N,18.149
161989 Cacus (1978 CA),20161989,True,True,1.12,0.214,26.1,0.883,1.36,434.0,0.829,310.0,17.31,1.9,0.09,3.7538,,,,329275,-0.00177739,0.000524835,-4.45793e-14,3.38656,1,N,21.659
(2016 UW80),3762440,True,False,1.16,0.169,13.0,0.967,1.36,459.0,0.784,346.0,23.91,,,,,,,161989,-0.000393206,0.000116168,-9.3633e-15,3.3848,1,N,44.969
216115 (2006 SU19),20216115,True,True,1.53,0.587,2.09,0.631,2.42,689.0,0.522,302.0,18.91,,,,,,,2016 UW80,-0.00841304,0.00249118,-2.07598e-13,3.37712,1,N,9.971
398188 Agni (2010 LE15),20398188,True,True,0.865,0.273,13.3,0.628,1.1,294.0,1.23,253.0,19.33,0.462,0.137,21.99,,,,216115,-0.0115421,0.00342272,-2.20381e-13,3.3722,Rej.,N,15.05
90373 (2003 SZ219),20090373,True,False,1.63,0.204,9.87,1.29,1.96,758.0,0.475,227.0,18.8,,,,,,,398188,-0.00141857,0.000420744,-2.87349e-14,3.37156,1,S,21.153
(2017 DN109),3770288,True,True,1.2,0.827,7.09,0.207,2.18,478.0,0.754,289.0,21.82,,,,,,,90373,-0.00911138,0.00270358,-2.6221e-13,3.37012,Rej.,N,25.177
370307 (2002 RH52),20370307,True,False,1.98,0.491,16.2,1.01,2.95,1020.0,0.354,74.1,16.97,,,4.218,,,,2017 DN109,0.01438,0.0042693,1.17117e-13,3.36824,1,N,12.98
313276 (2002 AX1),20313276,True,False,0.88,0.542,33.0,0.403,1.36,301.0,1.19,69.7,19.86,,,131.0,,,,370307,-0.0119569,0.0035534,-3.00259e-13,3.36493,Rej.,S,18.768
452376 (2002 AC5),20452376,True,True,1.76,0.494,16.5,0.891,2.63,853.0,0.422,99.3,19.97,,,,,,,313276,0.00182211,0.000542083,2.84372e-14,3.36132,1,L,19.088
864101 (2014 WL368),20864101,True,False,1.67,0.235,7.95,1.28,2.06,787.0,0.457,57.1,19.63,,,,,,,452376,0.00105336,0.000313432,2.48899e-14,3.36073,1,N,21.164
474163 (1999 SO5),20474163,True,True,1.09,0.0645,13.4,1.02,1.16,413.0,0.872,203.0,20.81,,,1.38,,,,2014 WL368,-0.0193932,0.00578107,-5.57362e-13,3.35461,Rej.,N,7.42
138911 (2001 AE2),20138911,True,False,1.35,0.0817,1.66,1.24,1.46,573.0,0.629,211.0,19.44,,,15.88,,,,474163,-0.00380405,0.00113786,-9.29532e-14,3.34315,1,S,17.339
10145 (1994 CK1),20010145,True,False,1.9,0.633,4.55,0.698,3.1,957.0,0.376,139.0,17.0,,,49.2892,,,,138911,-0.000964578,0.000288528,-2.62126e-14,3.34311,1,L,38.847
354030 (2001 RB18),20354030,True,False,2.35,0.539,4.18,1.08,3.61,1310.0,0.274,253.0,18.61,,,26.755,,,,10145,-0.00508622,0.00152296,-9.89749e-14,3.3397,Rej.,Q,29.125
7341 (1991 VK),20007341,True,True,1.84,0.506,5.41,0.91,2.77,913.0,0.394,196.0,16.96,0.982,0.235,4.2096,,,,354030,-0.012433,0.00372793,-3.16761e-13,3.3351,Rej.,X,20.868
286079 (2001 TW1),20286079,True,False,0.911,0.526,31.3,0.432,1.39,318.0,1.13,349.0,19.29,,,,,,,7341,-0.000246517,7.39937e-05,-5.85779e-15,3.3316,1,Q,30.242
(2007 US12),3390647,True,False,0.906,0.515,8.8,0.44,1.37,315.0,1.14,66.5,22.13,,,,,,,286079,-0.00147734,0.000443602,-2.40214e-14,3.33032,1,N,21.059
