full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
(2021 WC8),54239534,True,True,2.62,0.701,17.7,0.783,4.45,1550.0,0.233,312.0,19.81,,,,,,
171819 (2001 FZ6),20171819,True,False,1.5,0.167,9.95,1.25,1.74,668.0,0.539,45.2,18.38,,,15.24,,,
189011 Ogmios (1997 NJ6),20189011,True,False,1.5,0.232,18.7,1.15,1.85,671.0,0.536,71.4,19.08,,,,,,
339492 (2005 GQ21),20339492,True,False,1.43,0.215,47.0,1.12,1.73,622.0,0.579,275.0,18.39,,,,,,
828534 (2004 TG10),20828534,True,True,2.24,0.861,4.19,0.311,4.16,1220.0,0.295,83.4,19.47,1.316,0.018,,,,
523605 (2004 RX10),20523605,True,False,0.92,0.351,5.96,0.597,1.24,322.0,1.12,223.0,21.49,,,,,,
322763 (2001 FA7),20322763,True,False,2.01,0.536,22.8,0.931,3.08,1040.0,0.347,306.0,17.21,1.252,0.196,,,,
(2006 TD),3347502,True,False,1.59,0.395,8.19,0.965,2.22,735.0,0.49,205.0,22.4,,,,,,
(2011 XC),3590075,True,False,1.26,0.134,21.6,1.09,1.42,514.0,0.7,274.0,20.98,,,,,,
(2021 SP4),54202335,True,True,1.47,0.405,9.92,0.873,2.06,649.0,0.554,53.6,20.96,,,,,,
625646 (2006 GX2),20625646,True,False,1.76,0.545,8.23,0.799,2.72,851.0,0.423,175.0,20.71,,,,,,
(2015 XW261),3736516,True,False,1.25,0.467,29.7,0.666,1.83,510.0,0.706,342.0,21.39,,,19.67,,,
(2017 US4),3788008,True,False,1.4,0.217,9.7,1.1,1.71,608.0,0.592,191.0,21.51,,,,,,
(2006 WF129),3361625,True,False,2.64,0.532,22.1,1.24,4.05,1570.0,0.229,162.0,19.13,,,,,,
(2003 TG2),3160853,True,False,0.908,0.316,25.5,0.621,1.19,316.0,1.14,10.0,21.36,,,,,,
(2005 NE21),3283679,True,False,0.789,0.496,10.6,0.397,1.18,256.0,1.41,171.0,21.24,,,,,,
152664 (1998 FW4),20152664,True,True,2.52,0.714,3.41,0.721,4.32,1460.0,0.246,2.25,19.7,,,17.38,,,
7336 Saunders (1989 RS1),20007336,True,False,2.31,0.482,7.2,1.19,3.42,1280.0,0.282,118.0,18.8,,,4.307,,,
162416 (2000 EH26),20162416,True,True,1.85,0.478,0.402,0.968,2.74,922.0,0.39,40.0,21.67,,,24.0,,,
(1999 SF10),3023213,True,False,1.28,0.254,1.21,0.955,1.6,529.0,0.681,1.25,24.46,,,0.0411,,,
