full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
265482 (2005 EE),20265482,True,True,1.13,0.328,6.17,0.759,1.5,438.0,0.822,183.0,21.21,,,2.6534,,,
85953 (1999 FK21),20085953,True,False,0.739,0.703,12.6,0.219,1.26,232.0,1.55,259.0,18.09,0.59,0.32,28.08,,,
(2021 GM1),54134666,True,False,0.978,0.0255,1.18,0.953,1.0,353.0,1.02,72.9,30.4,,,,,,
(2018 HG2),3819574,True,False,1.19,0.33,14.3,0.801,1.59,477.0,0.754,352.0,24.26,,,,,,
264357 (2000 AZ93),20264357,True,True,0.747,0.36,8.59,0.478,1.02,236.0,1.53,202.0,21.17,0.113,0.037,,,,
(2017 OU18),3778624,True,False,0.826,0.377,30.4,0.514,1.14,274.0,1.31,206.0,23.98,,,,,,
(2005 RZ2),3289743,True,False,1.11,0.103,13.2,0.992,1.22,425.0,0.847,47.3,23.3,,,,,,
326290 Akhenaten (1998 HE3),20326290,True,True,0.879,0.44,3.38,0.492,1.27,301.0,1.2,63.6,21.83,,,,,,
216985 (2000 QK130),20216985,True,True,1.18,0.262,4.72,0.871,1.49,469.0,0.768,305.0,21.34,,,,,,
(1996 AE2),3008362,True,False,1.37,0.257,37.4,1.02,1.72,584.0,0.616,270.0,20.23,,,,,,
488453 (1994 XD),20488453,True,True,2.34,0.734,4.33,0.624,4.06,1310.0,0.275,233.0,19.24,,,2.7365,,,
(2009 OS5),3465236,True,False,1.15,0.0994,1.71,1.03,1.26,449.0,0.801,146.0,24.4,,,,,,
613862 (2007 UY1),20613862,True,False,0.949,0.176,1.02,0.782,1.12,338.0,1.07,302.0,23.1,,,,,,
(2005 VL1),3297629,True,False,0.891,0.225,0.236,0.691,1.09,307.0,1.17,49.7,26.45,,,,,,
3361 Orpheus (1982 HR),20003361,True,True,1.21,0.323,2.65,0.819,1.6,486.0,0.74,321.0,19.54,0.3,0.357,3.5327,,,
481442 (2006 WO3),20481442,True,False,0.8,0.447,21.2,0.442,1.16,261.0,1.38,346.0,21.58,,,,,,
216523 (2001 HY7),20216523,True,True,0.914,0.412,5.21,0.537,1.29,319.0,1.13,181.0,20.7,,,0.042,,,
(2000 EM26),3092253,True,False,0.817,0.467,3.84,0.436,1.2,270.0,1.33,60.6,22.51,,,,,,
297418 (2000 SP43),20297418,True,True,0.812,0.467,10.3,0.433,1.19,267.0,1.35,250.0,18.52,0.407,0.388,6.314,,,
(2008 DB),3403149,True,False,1.05,0.233,4.22,0.808,1.3,395.0,0.912,211.0,25.8,,,,,,
455176 (1999 VF22),20455176,True,True,1.31,0.739,3.92,0.343,2.28,549.0,0.655,146.0,20.71,,,6.681,,,
162004 (1991 VE),20162004,True,False,0.891,0.665,7.22,0.299,1.48,307.0,1.17,263.0,18.29,,,13.4895,,,
99907 (1989 VA),20099907,True,False,0.728,0.595,28.8,0.295,1.16,227.0,1.59,156.0,17.94,1.4,,2.5246,,,
310842 (2003 AK18),20310842,True,False,0.877,0.384,7.4,0.54,1.21,300.0,1.2,64.7,19.83,,,5.3257,,,
4179 Toutatis (1989 AC),20004179,True,True,2.54,0.625,0.448,0.954,4.13,1480.0,0.243,76.9,15.29,5.4,0.405,176.0,,,
(2021 UN7),54214728,True,False,0.999,0.393,20.3,0.606,1.39,365.0,0.987,97.0,23.36,,,,,,
(2013 GZ7),3634186,True,False,1.41,0.192,5.28,1.14,1.67,609.0,0.591,213.0,24.0,,,,,,
796478 (2009 WF),20796478,True,False,1.39,0.329,15.8,0.93,1.84,596.0,0.604,338.0,19.78,,,,,,
330659 (2008 GG2),20330659,True,False,1.59,0.278,13.0,1.15,2.03,730.0,0.493,292.0,23.01,,,,,,
175706 (1996 FG3),20175706,True,True,1.05,0.35,1.97,0.685,1.42,396.0,0.91,36.7,18.3,1.196,0.072,3.5942,,,
480820 (1998 VF32),20480820,True,True,0.851,0.444,23.7,0.473,1.23,287.0,1.26,46.6,20.97,,,,,,
2062 Aten (1976 AA),20002062,True,False,0.967,0.183,18.9,0.79,1.14,347.0,1.04,32.6,17.11,1.1,0.26,42.15,,,
10302 (1989 ML),20010302,True,False,1.27,0.137,4.38,1.1,1.45,524.0,0.686,122.0,19.44,,,19.2406,,,
595116 (2001 QE96),20595116,True,False,1.31,0.0281,7.27,1.27,1.35,548.0,0.657,320.0,22.77,,,,,,
796120 (2009 EM1),20796120,True,False,2.53,0.554,18.0,1.13,3.93,1470.0,0.245,61.2,23.0,,,,,,
385186 (1994 AW1),20385186,True,True,1.1,0.0756,24.1,1.02,1.19,424.0,0.849,295.0,17.64,0.811,0.223,2.5193,,,
470975 (2009 SC15),20470975,True,False,1.26,0.179,6.84,1.04,1.49,520.0,0.693,341.0,21.43,,,10.354,,,
510529 (2012 EY11),20510529,True,True,1.15,0.151,9.02,0.975,1.32,450.0,0.801,145.0,21.58,,,,,,
(2014 WF497),3701710,True,False,1.11,0.222,28.4,0.864,1.36,427.0,0.843,232.0,20.34,,,,,,
(1997 YM9),3092168,True,False,1.1,0.104,7.84,0.982,1.21,419.0,0.859,82.7,24.36,,,,,,
(1999 UQ),3092237,True,False,1.09,0.0156,24.8,1.08,1.11,418.0,0.861,92.4,21.87,,,,,,
(1994 WR12),3005969,True,False,0.757,0.397,6.85,0.456,1.06,240.0,1.5,153.0,22.4,,,,,,
348306 (2005 AY28),20348306,True,True,0.873,0.57,5.88,0.375,1.37,298.0,1.21,92.3,21.55,,,,,,
412976 (1987 WC),20412976,True,False,1.36,0.234,15.8,1.04,1.68,581.0,0.62,5.03,19.9,,,,,,
363505 (2003 UC20),20363505,True,True,0.781,0.337,3.78,0.518,1.04,252.0,1.43,118.0,18.47,1.876,0.029,29.6,,,
499998 (2011 PT),20499998,True,False,1.32,0.217,2.22,1.03,1.6,551.0,0.653,140.0,24.01,,,,,,
164207 Cardea (2004 GU9),20164207,True,True,1.0,0.136,13.7,0.865,1.14,366.0,0.984,97.3,21.19,0.163,0.219,,,,
6489 Golevka (1991 JX),20006489,True,True,2.48,0.619,2.26,0.944,4.01,1420.0,0.253,252.0,19.22,0.53,0.151,6.026,,,
(2000 AA6),3025766,True,True,1.29,0.519,2.03,0.618,1.95,533.0,0.676,219.0,22.44,0.316,0.026,,,,
152671 (1998 HL3),20152671,True,True,1.13,0.366,2.68,0.716,1.54,438.0,0.822,255.0,20.24,0.298,0.2,,,,
(2022 QX4),54297628,True,False,0.681,0.505,0.138,0.337,1.02,205.0,1.75,99.7,24.7,,,0.088812,,,
350523 (2000 EA14),20350523,True,True,1.12,0.203,3.56,0.891,1.34,432.0,0.834,13.6,21.16,,,,,,
467351 (2003 KO2),20467351,True,True,0.728,0.511,23.5,0.356,1.1,227.0,1.59,266.0,20.36,,,6.48,,,
494710 (2005 MO13),20494710,True,True,0.863,0.411,6.32,0.509,1.22,293.0,1.23,23.1,20.75,,,,,,
(2018 GY),3802409,True,False,0.767,0.406,8.75,0.455,1.08,245.0,1.47,298.0,24.83,,,,,,
334412 (2002 EZ2),20334412,True,False,1.25,0.046,13.0,1.19,1.31,510.0,0.706,149.0,20.32,,,34.077,,,
(2012 UK171),3615463,True,False,0.859,0.223,1.29,0.667,1.05,291.0,1.24,272.0,24.46,,,,,,
416151 (2002 RQ25),20416151,True,False,1.11,0.306,4.57,0.771,1.45,428.0,0.841,10.7,20.67,,,12.191,,,
154590 (2003 MA3),20154590,True,True,1.11,0.402,1.42,0.661,1.55,424.0,0.848,36.3,21.7,0.086,0.53,,,,
(2015 KJ19),3719475,True,False,2.08,0.745,2.55,0.531,3.63,1100.0,0.328,198.0,22.51,,,,,,
747011 (2012 PG6),20747011,True,False,0.837,0.616,6.53,0.321,1.35,280.0,1.29,356.0,20.24,,,10.58,,,
(2018 KC2),3825017,True,False,1.16,0.232,4.48,0.892,1.43,457.0,0.787,109.0,22.89,,,,,,
(2005 TF49),3293832,True,True,1.04,0.0254,24.5,1.02,1.07,389.0,0.926,34.7,19.05,,,,,,
(2012 HL31),3603128,True,False,0.888,0.374,19.8,0.556,1.22,305.0,1.18,226.0,22.43,,,,,,
(2010 VK139),3551475,True,False,0.78,0.282,27.0,0.56,1.0,252.0,1.43,103.0,23.71,0.055,0.196,0.0299522,,,
66400 (1999 LT7),20066400,True,False,0.855,0.573,9.06,0.366,1.35,289.0,1.25,25.6,19.27,0.411,0.182,,,,
(2021 FR1),54132420,True,False,1.08,0.392,6.96,0.658,1.5,411.0,0.876,320.0,22.39,,,,,,
422686 (2000 AC6),20422686,True,True,0.854,0.287,4.7,0.609,1.1,288.0,1.25,115.0,21.63,0.176,0.143,2.4437,,,
357622 (2005 EY95),20357622,True,True,1.08,0.538,3.17,0.5,1.67,412.0,0.874,187.0,20.32,,,3.925,,,
(2012 UU136),3614397,True,True,1.16,0.212,35.6,0.914,1.41,456.0,0.789,269.0,21.45,,,,,,
(2000 CK59),3031776,True,False,1.48,0.311,5.71,1.02,1.94,655.0,0.549,137.0,24.1,,,,,,
283457 (2001 MQ3),20283457,True,False,2.24,0.455,5.57,1.22,3.25,1220.0,0.295,91.6,19.1,,,,,,
424392 (2007 YJ),20424392,True,False,1.1,0.28,3.31,0.795,1.41,423.0,0.851,39.4,22.12,0.239,0.054,,,,
(2011 PU1),3574830,True,False,1.3,0.246,4.36,0.983,1.62,544.0,0.662,236.0,25.6,,,,,,
492143 (2013 OE),20492143,True,False,2.03,0.509,9.79,0.998,3.07,1060.0,0.34,7.92,17.65,,,77.51,,,
(2010 XX72),3554011,True,False,0.903,0.284,4.47,0.647,1.16,314.0,1.15,330.0,22.06,,,,,,
2101 Adonis (1936 CA),20002101,True,True,1.87,0.764,1.32,0.442,3.31,937.0,0.384,24.5,18.69,0.6,,,,,
4581 Asclepius (1989 FC),20004581,True,True,1.02,0.357,4.92,0.658,1.39,378.0,0.953,233.0,20.74,,,8.008,,,
(2015 XC352),3736678,True,False,1.02,0.146,4.48,0.867,1.16,374.0,0.964,173.0,25.82,,,,,,
(2011 JW10),3565395,True,False,1.31,0.215,21.6,1.03,1.59,548.0,0.657,193.0,23.14,,,,,,
69230 Hermes (1937 UB),20069230,True,True,1.66,0.624,6.07,0.622,2.69,778.0,0.463,105.0,17.68,,,13.894,,,
(1994 GL),3092124,True,False,0.683,0.504,3.68,0.339,1.03,206.0,1.74,163.0,25.5,,,,,,
33342 (1998 WT24),20033342,True,True,0.719,0.418,7.37,0.419,1.02,223.0,1.62,315.0,18.02,0.432,0.654,3.697,,,
(2020 FW6),54016425,True,False,1.31,0.299,25.5,0.92,1.7,548.0,0.656,211.0,23.22,,,,,,
506590 (2005 XB1),20506590,True,False,1.13,0.419,8.71,0.658,1.61,440.0,0.819,292.0,21.97,0.099,0.287,,,,
481965 (2009 EB1),20481965,True,False,1.11,0.454,12.5,0.604,1.61,425.0,0.847,324.0,20.69,,,,,,
388188 (2006 DP14),20388188,True,True,1.36,0.776,11.8,0.305,2.42,582.0,0.618,164.0,19.0,,,5.7868,,,
163000 (2001 SW169),20163000,True,False,1.25,0.0514,3.55,1.18,1.31,509.0,0.707,168.0,19.25,,,69.97,,,
467460 (2006 JF42),20467460,True,True,0.672,0.582,5.94,0.281,1.06,201.0,1.79,304.0,19.05,,,13.98,,,
162361 (2000 AF6),20162361,True,True,0.876,0.411,2.71,0.516,1.24,299.0,1.2,310.0,20.24,,,3.4558,,,
(2007 RY19),3384484,True,False,1.11,0.253,12.6,0.827,1.39,426.0,0.846,147.0,22.75,,,,,,
4034 Vishnu (1986 PA),20004034,True,True,1.06,0.444,11.2,0.589,1.53,398.0,0.904,262.0,18.49,0.42,0.52,44.4,,,
163023 (2001 XU1),20163023,True,False,0.797,0.546,27.1,0.362,1.23,260.0,1.38,350.0,19.52,,,,,,
612358 (2002 JE9),20612358,True,True,1.07,0.417,8.77,0.622,1.51,402.0,0.896,200.0,21.4,,,,,,
467336 (2002 LT38),20467336,True,True,0.845,0.314,6.18,0.58,1.11,284.0,1.27,268.0,20.61,,,14.95,,,
(2006 KS1),3333612,True,False,1.47,0.315,3.65,1.01,1.93,651.0,0.553,6.85,25.41,,,,,,
745311 (2010 XC15),20745311,True,True,0.732,0.42,8.24,0.425,1.04,229.0,1.57,95.6,21.48,,,2.673,,,
(2015 TC25),3729281,True,False,1.03,0.116,3.74,0.909,1.15,381.0,0.945,181.0,29.34,,,0.03715,,,
242191 (2003 NZ6),20242191,True,False,0.793,0.492,18.2,0.403,1.18,258.0,1.39,132.0,19.02,0.37,0.334,13.531,,,
8014 (1990 MF),20008014,True,True,1.75,0.456,1.87,0.951,2.54,844.0,0.427,102.0,18.88,0.7,,50.09,,,
310442 (2000 CH59),20310442,True,True,0.862,0.423,3.26,0.497,1.23,292.0,1.23,218.0,19.82,,,6.0542,,,
613471 (2006 RJ1),20613471,True,False,0.95,0.3,1.41,0.665,1.24,338.0,1.06,20.0,22.27,,,,,,
452334 (2001 LB),20452334,True,False,1.24,0.189,20.8,1.0,1.47,502.0,0.717,325.0,21.08,,,,,,
337248 (2000 RH60),20337248,True,False,0.826,0.551,19.6,0.371,1.28,274.0,1.31,21.5,20.08,0.846,0.025,25.2,,,
(1998 KY26),3012392,True,False,1.23,0.2,1.49,0.983,1.47,498.0,0.724,0.983,25.91,0.011,0.52,0.089193,,,
(2014 WF201),3698475,True,False,1.11,0.111,8.5,0.988,1.23,428.0,0.841,171.0,25.59,,,0.4743,,,
(2019 QU2),3843622,True,False,0.824,0.705,11.3,0.243,1.4,273.0,1.32,11.4,22.21,,,,,,
(2008 LG2),3413165,True,False,0.851,0.23,3.06,0.656,1.05,287.0,1.26,252.0,25.34,,,,,,
(1999 SH10),3022971,True,False,1.1,0.131,9.59,0.955,1.24,421.0,0.856,313.0,22.75,,,0.1264,,,
350751 (2002 AW),20350751,True,True,1.07,0.257,0.574,0.796,1.35,405.0,0.889,37.7,20.82,,,4.647,,,
306383 (1993 VD),20306383,True,True,0.876,0.552,2.07,0.393,1.36,299.0,1.2,127.0,21.49,,,0.94345,,,
138852 (2000 WN10),20138852,True,False,1.0,0.298,21.5,0.703,1.3,366.0,0.983,91.1,20.3,,,4.4622,,,
