85990      -3.15698e-14 2.18021e-15  14.4802   -3.56677e-14 2.646e-15  13.4798  1  1.87958      1.54871     1.19524
2018 GY    -3.06706e-13 4.18714e-14   7.32496  -3.94973e-13 6.322e-14   6.2476  1  2.10806      1.3962      1.16404
306383     -2.50985e-14 4.44091e-15   5.65166  -1.71293e-14 5.406e-15   3.16858 1  1.79449      1.47413     1.13907
2010 VK139 -1.47123e-13 2.1202e-14    6.93912  -9.81544e-14 3.809e-14   2.57691 1  2.30962      1.2856      1.12331
363599     -6.37546e-14 4.97974e-15  12.8028   -5.51425e-14 6.048e-15   9.11748 1  1.72943      1.42396     1.09928
2005 VL1   -2.16874e-13 2.33361e-14   9.29348  -8.3206e-13  5.612e-13   1.48264 3 26.362        1.0962      1.09525
524522     -5.98376e-14 1.05102e-15  56.9329   -5.82628e-14 1.123e-15  51.8814  1  1.49832      1.40229     1.02384
481965     -5.44908e-14 8.58924e-15   6.34407  -4.07249e-14 1.166e-14   3.4927  1  1.60269      1.18061     0.950547
2006 BE55  -1.28379e-13 2.86046e-14   4.48805  -8.2966e-14  3.876e-14   2.14051 1  1.58761      1.17164     0.942721
385186      1.19771e-14 1.48948e-15   8.04111   1.42563e-14 1.931e-15   7.38288 1  1.53023      1.18035     0.934611
2010 XX72  -1.60146e-13 2.43858e-14   6.56716  -1.26239e-13 2.882e-14   4.38026 1  1.39044      1.17651     0.898138
413260     -2.64401e-14 6.55517e-15   4.03347  -3.49164e-14 7.189e-15   4.85692 1  1.29307      1.17906     0.871246
162361      2.9739e-14  4.78362e-15   6.21684   3.59918e-14 5.373e-15   6.69864 1  1.30712      1.16374     0.869178
1998 SD9   -2.89846e-13 1.56416e-15 185.305    -2.87247e-13 2.626e-15 109.386   1  1.66128      0.98953     0.850144
85774      -5.3355e-15  1.31733e-15   4.05024  -6.85646e-15 1.376e-15   4.98289 1  1.15458      1.10535     0.798435
388188     -3.27734e-14 5.20196e-15   6.3002   -3.94153e-14 6.628e-15   5.94679 1  1.27681      1.0021      0.788302
363505     -7.83047e-15 1.02029e-15   7.67475  -6.55193e-15 1.339e-15   4.89315 1  1.25311      0.954847    0.759488
2022 QX4   -4.16668e-13 5.60395e-14   7.43526  -3.40249e-13 8.901e-14   3.82259 1  1.36366      0.858544    0.726542
2005 LW3   -7.54562e-14 1.36548e-14   5.52599  -6.11913e-14 1.432e-14   4.27313 1  1.04468      0.996153    0.720932
2063       -1.19994e-14 2.3253e-15    5.16036  -9.65371e-15 2.506e-15   3.85224 1  1.00877      0.93603     0.686148
152754     -2.19633e-14 6.06827e-15   3.61937  -2.79318e-14 6.431e-15   4.34331 1  0.983564     0.928088    0.675018
478784     -9.08345e-14 1.63903e-14   5.54197  -7.56332e-14 1.648e-14   4.58939 1  0.927457     0.922409    0.654019
138175     -9.63882e-14 5.95687e-15  16.181    -9.07212e-14 6.386e-15  14.2063  1  0.951343     0.887414    0.648921
2017 BM123 -8.27887e-14 1.609e-14     5.14535  -1.01292e-13 2.356e-14   4.29933 1  1.15         0.785381    0.648565
408982      3.19776e-14 8.73508e-15   3.66083   4.06925e-14 1.025e-14   3.97    1  0.997689     0.850233    0.647122
612094     -8.42215e-14 8.09192e-15  10.4081   -7.58212e-14 1.023e-14   7.41166 1  1.0381       0.821139    0.64402
467336      2.9094e-14  4.90288e-15   5.93406   2.44177e-14 5.376e-15   4.54198 1  0.953795     0.869855    0.642711
1566       -3.88525e-15 3.3741e-16   11.5149   -3.44556e-15 5.958e-16   5.78308 1  1.30313      0.73798     0.642156
613471     -1.92065e-13 3.30346e-14   5.81405  -1.63749e-13 3.441e-14   4.75877 1  0.857154     0.822893    0.593616
494710     -5.60928e-14 7.64857e-15   7.33376  -6.40954e-14 1.112e-14   5.76397 1  1.04629      0.719657    0.592939
162080     -2.0828e-14  6.53168e-15   3.18877  -2.71359e-14 8.554e-15   3.1723  1  0.965732     0.737416    0.58609
467460      3.42893e-14 5.49044e-15   6.24528   3.93314e-14 6.764e-15   5.81481 1  0.918343     0.745432    0.578763
